Symbol,Name,Price (Intraday),Market Cap,PE Ratio (TTM),Sector
IVT,InvenTrust Properties Corp.,28.98,2.235B,322,Real Estate
NEE,"NextEra Energy, Inc.",81.86,168.251B,26.66,Utilities
SO,The Southern Company,88.96,97.373B,21.23,Utilities
DUK,Duke Energy Corporation,114.17,88.162B,19.52,Utilities
CEG,Constellation Energy Corporation,266.22,83.244B,35.45,Utilities
GEV,GE Vernova Inc.,266.89,73.342B,67.06,Utilities
AEP,"American Electric Power Company, Inc.",98.25,52.281B,19.65,Utilities
SRE,Sempra,82.16,52.019B,17.56,Utilities
PCG,PG&E Corporation,19.63,51.336B,16.78,Utilities
D,"Dominion Energy, Inc.",56.22,47.165B,23.42,Utilities
PEG,Public Service Enterprise Group Incorporated,87.66,43.669B,26.56,Utilities
VST,Vistra Corp.,125.29,43.045B,91.45,Utilities
EXC,Exelon Corporation,39.74,39.76B,16.42,Utilities
ED,"Consolidated Edison, Inc.",102.32,35.418B,19.87,Utilities
XEL,Xcel Energy Inc.,62.31,34.738B,18.6,Utilities
EIX,Edison International,83.61,32.288B,33.58,Utilities
WEC,"WEC Energy Group, Inc.",95.45,30.17B,22.04,Utilities
ETR,Entergy Corporation,130.64,27.935B,15.61,Utilities
AWK,"American Water Works Company, Inc.",138.87,27.061B,28.34,Utilities
DTE,DTE Energy Company,124.87,25.851B,18.67,Utilities
FE,FirstEnergy Corp.,42.71,24.598B,27.38,Utilities
PPL,PPL Corporation,31.71,23.395B,28.06,Utilities
AEE,Ameren Corporation,86.45,23.066B,19.51,Utilities
ES,Eversource Energy,63.82,22.808B,N/A,Utilities
ATO,Atmos Energy Corporation,139.36,21.633B,20.58,Utilities
CMS,CMS Energy Corporation,69.34,20.714B,21.27,Utilities
CNP,"CenterPoint Energy, Inc.",29.57,19.271B,18.25,Utilities
NRG,"NRG Energy, Inc.",89.75,18.523B,9.84,Utilities
LNT,Alliant Energy Corporation,59.67,15.305B,24.36,Utilities
NI,NiSource Inc.,33.93,15.218B,20.82,Utilities
AGR,"Avangrid, Inc.",35.73,13.828B,14.18,Utilities
EVRG,"Evergy, Inc.",59.34,13.646B,18.54,Utilities
AES,The AES Corporation,17.32,12.313B,16.5,Utilities
WTRG,"Essential Utilities, Inc.",39.16,10.717B,19.2,Utilities
PNW,Pinnacle West Capital Corporation,85.9,9.759B,15.85,Utilities
TLN,Talen Energy Corporation,159.19,8.119B,N/A,Utilities
OGE,OGE Energy Corp.,39.84,8.003B,19.53,Utilities
CWEN-A,"Clearway Energy, Inc.",25.81,5.451B,33.96,Utilities
IDA,"IDACORP, Inc.",101.09,5.383B,18.9,Utilities
SWX,"Southwest Gas Holdings, Inc.",74.33,5.33B,29.38,Utilities
UGI,UGI Corporation,24.6,5.281B,7.83,Utilities
POR,Portland General Electric Company,46.48,4.791B,15.97,Utilities
ORA,"Ormat Technologies, Inc.",76,4.594B,34.86,Utilities
NJR,New Jersey Resources Corporation,45.68,4.53B,19.19,Utilities
BKH,Black Hills Corporation,59.31,4.137B,14.68,Utilities
OGS,"ONE Gas, Inc.",71.71,4.063B,18.15,Utilities
FLNC,"Fluence Energy, Inc.",21.7,3.917B,N/A,Utilities
TXNM,"TXNM Energy, Inc.",43.18,3.906B,47.98,Utilities
SR,Spire Inc.,64.87,3.746B,15.82,Utilities
ALE,"ALLETE, Inc.",64.34,3.716B,16.76,Utilities
NWE,"NorthWestern Energy Group, Inc.",55.11,3.378B,16.07,Utilities
MGEE,"MGE Energy, Inc.",90.52,3.275B,28.38,Utilities
OTTR,Otter Tail Corporation,76.87,3.215B,10.39,Utilities
AWR,American States Water Company,83.11,3.113B,29.06,Utilities
CWT,California Water Service Group,52.38,3.081B,17.23,Utilities
AVA,Avista Corporation,37.59,2.958B,15.16,Utilities
CPK,Chesapeake Utilities Corporation,117.6,2.64B,25.13,Utilities
AY,Atlantica Sustainable Infrastructure plc,21.97,2.552B,73.23,Utilities
NEP,"NextEra Energy Partners, LP",25.24,2.361B,16.39,Utilities
NFE,New Fortress Energy Inc.,9.36,2.353B,7.93,Utilities
RNW,ReNew Energy Global Plc,5.91,2.143B,197,Utilities
SJW,SJW Group,57.45,1.879B,21.04,Utilities
HE,"Hawaiian Electric Industries, Inc.",9.73,1.678B,N/A,Utilities
CTRI,"Centuri Holdings, Inc.",18.06,1.599B,N/A,Utilities
NWN,Northwest Natural Holding Company,39.84,1.541B,18.44,Utilities
KEN,Kenon Holdings Ltd.,26.13,1.379B,N/A,Utilities
SPH,"Suburban Propane Partners, L.P.",18.17,1.164B,12.11,Utilities
MSEX,Middlesex Water Company,63.22,1.127B,30.69,Utilities
OKLO,Oklo Inc.,9.15,1.117B,N/A,Utilities
ARIS,"Aris Water Solutions, Inc.",17.4,1.011B,23.2,Utilities
UTL,Unitil Corporation,58.12,940.033M,19.25,Utilities
MNTK,"Montauk Renewables, Inc.",5.75,825.775M,41.07,Utilities
YORW,The York Water Company,36.26,520.77M,22.66,Utilities
GNE,Genie Energy Ltd.,16,430.29M,57.14,Utilities
CWCO,Consolidated Water Co. Ltd.,25.21,399.188M,13.27,Utilities
ARTNA,Artesian Resources Corporation,35.73,367.79M,20.07,Utilities
GWRS,"Global Water Resources, Inc.",12.19,295.21M,48.76,Utilities
PCYO,Pure Cycle Corporation,10.8,260.013M,43.2,Utilities
RGCO,"RGC Resources, Inc.",21.02,214.801M,16.82,Utilities
ELLO,Ellomay Capital Ltd.,12.4,159.372M,N/A,Utilities
MCPB,Mt. Carmel Public Utility Co.,23,4.6M,N/A,Utilities
